TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
1.455825,"2020-01-25 10:56:23",广东,东莞,1,0,0,0,1,0,0,1,,,0.01282051,,0,,0.01315789,0.01,,0,0,0.01234568,,,1.9998E-05,,0,0,2.631094E-05
2.361203,"2020-01-26 08:40:07",广东,东莞,1,0,0,0,1,0,0,1,,,0.01960784,,0,,0.02040816,0.01,,0,0,0.01234568,,,1.9998E-05,,0,0,2.631094E-05
2.412323,"2020-01-26 09:53:44",广东,东莞,2,0,0,0,2,0,0,1,,,0.02040816,,0,,0.02083333,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
2.434062,"2020-01-26 10:25:02",广东,东莞,2,0,0,0,2,0,0,1,,,0.02040816,,0,,0.02083333,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
2.767058,"2020-01-26 18:24:33",广东,东莞,2,0,0,0,2,0,0,1,,,0.01801802,,0,,0.01834862,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
2.767761,"2020-01-26 18:25:34",广东,东莞,2,0,0,0,2,0,0,1,,,0.01801802,,0,,0.01834862,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
2.768463,"2020-01-26 18:26:35",广东,东莞,2,0,0,0,2,0,0,1,,,0.01801802,,0,,0.01834862,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
3.389689,"2020-01-27 09:21:09",广东,东莞,2,0,0,0,2,0,0,1,,,0.01369863,,0,,0.01388889,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
3.390389,"2020-01-27 09:22:09",广东,东莞,2,0,0,0,2,0,0,1,,,0.01369863,,0,,0.01388889,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
3.39109,"2020-01-27 09:23:10",广东,东莞,2,0,0,0,2,0,0,1,,,0.01369863,,0,,0.01388889,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
3.802983,"2020-01-27 19:16:17",广东,东莞,2,0,0,0,2,0,0,1,,,0.01324503,,0,,0.01342282,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
3.876131,"2020-01-27 21:01:37",广东,东莞,2,0,0,0,2,0,0,1,,,0.01324503,,0,,0.01351351,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
4.291444,"2020-01-28 06:59:40",广东,东莞,2,0,0,0,2,0,0,1,,,0.01324503,,0,,0.01360544,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
4.292846,"2020-01-28 07:01:41",广东,东莞,2,0,0,0,2,0,0,1,,,0.01324503,,0,,0.01360544,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
4.396703,"2020-01-28 09:31:15",广东,东莞,2,0,0,0,2,0,0,1,,,0.0106383,,0,,0.01086957,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
4.772559,"2020-01-28 18:32:29",广东,东莞,2,0,0,0,2,0,0,1,,,0.009661836,,0,,0.009852217,0.02,,0,0,0.02469136,,,3.9996E-05,,0,0,5.262189E-05
4.773962,"2020-01-28 18:34:30",广东,东莞,7,0,0,0,7,0,0,1,,,0.03381642,,0,,0.03448276,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
4.774664,"2020-01-28 18:35:31",广东,东莞,7,0,0,0,7,0,0,1,,,0.03381642,,0,,0.03448276,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
4.780982,"2020-01-28 18:44:36",广东,东莞,7,0,0,0,7,0,0,1,,,0.03381642,,0,,0.03448276,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
5.391363,"2020-01-29 09:23:33",广东,东莞,7,0,0,0,7,0,0,1,,,0.02904564,,0,,0.02966102,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
5.685182,"2020-01-29 16:26:39",广东,东莞,7,0,0,0,7,0,0,1,,,0.02573529,,0,,0.02621723,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
5.685882,"2020-01-29 16:27:40",广东,东莞,7,0,0,0,7,0,0,1,,,0.02573529,,0,,0.02621723,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
5.781184,"2020-01-29 18:44:54",广东,东莞,7,0,0,0,7,0,0,1,,,0.02527076,,0,,0.02573529,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
5.782581,"2020-01-29 18:46:55",广东,东莞,7,0,0,0,7,0,0,1,,,0.02527076,,0,,0.02573529,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
6.401701,"2020-01-30 09:38:27",广东,东莞,7,0,0,0,7,0,0,1,,,0.02250804,,0,,0.02295082,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
6.605413,"2020-01-30 14:31:47",广东,东莞,7,0,0,0,7,0,0,1,,,0.02250804,,0,,0.02302632,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
6.606816,"2020-01-30 14:33:48",广东,东莞,7,0,0,0,7,0,0,1,,,0.02250804,,0,,0.02302632,0.07,,0,0,0.08641975,,,0.000139986,,0,0,0.0001841766
6.689399,"2020-01-30 16:32:44",广东,东莞,11,0,0,0,11,0,0,1,,,0.03107345,,0,,0.03170029,0.11,,0,0,0.1358025,,,0.000219978,,0,0,0.0002894204
6.691499,"2020-01-30 16:35:45",广东,东莞,11,0,0,0,11,0,0,1,,,0.03107345,,0,,0.03179191,0.11,,0,0,0.1358025,,,0.000219978,,0,0,0.0002894204
6.692199,"2020-01-30 16:36:46",广东,东莞,11,0,0,0,11,0,0,1,,,0.03107345,,0,,0.03179191,0.11,,0,0,0.1358025,,,0.000219978,,0,0,0.0002894204
6.837801,"2020-01-30 20:06:26",广东,东莞,11,0,0,0,11,0,0,1,,,0.03107345,,0,,0.03197674,0.11,,0,0,0.1358025,,,0.000219978,,0,0,0.0002894204
7.386397,"2020-01-31 09:16:24",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04177546,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.430593,"2020-01-31 10:20:03",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04166667,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.456152,"2020-01-31 10:56:51",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04289544,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.456928,"2020-01-31 10:57:58",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04289544,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.463113,"2020-01-31 11:06:52",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04166667,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.464658,"2020-01-31 11:09:06",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04166667,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.4662,"2020-01-31 11:11:19",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04177546,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.473145,"2020-01-31 11:21:19",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04177546,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.474688,"2020-01-31 11:23:33",广东,东莞,16,0,0,0,16,0,0,1,,,0.04071247,,0,,0.04166667,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.7036,"2020-01-31 16:53:11",广东,东莞,16,0,0,0,16,0,0,1,,,0.03669725,,0,,0.03755869,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.704389,"2020-01-31 16:54:19",广东,东莞,16,0,0,0,16,0,0,1,,,0.03669725,,0,,0.03755869,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
7.894851,"2020-01-31 21:28:35",广东,东莞,16,0,0,0,16,0,0,1,,,0.03669725,,0,,0.03764706,0.16,,0,0,0.1975309,,,0.000319968,,0,0,0.0004209751
8.391541,"2020-02-01 09:23:49",广东,东莞,21,0,0,0,21,0,0,1,,,0.04038462,,0,,0.04117647,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.700117,"2020-02-01 16:48:10",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04007633,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.701567,"2020-02-01 16:50:15",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04007633,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.799913,"2020-02-01 19:11:52",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04015296,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.813046,"2020-02-01 19:30:47",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04015296,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.817582,"2020-02-01 19:37:19",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04007633,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.870137,"2020-02-01 20:52:59",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04022989,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
8.932571,"2020-02-01 22:22:54",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.0403071,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
9.382389,"2020-02-02 09:10:38",广东,东莞,21,0,0,0,21,0,0,1,,,0.03925234,,0,,0.04015296,0.21,,0,0,0.2592593,,,0.000419958,,0,0,0.0005525298
9.387753,"2020-02-02 09:18:21",广东,东莞,27,0,0,0,27,0,0,1,,,0.04470199,,0,,0.04576271,0.27,,0,0,0.3333333,,,0.000539946,,0,0,0.0007103955
9.699011,"2020-02-02 16:46:34",广东,东莞,27,0,0,0,27,0,0,1,,,0.04272152,,0,,0.04368932,0.27,,0,0,0.3333333,,,0.000539946,,0,0,0.0007103955
9.869644,"2020-02-02 20:52:17",广东,东莞,27,0,0,0,27,0,0,1,,,0.04272152,,0,,0.04376013,0.27,,0,0,0.3333333,,,0.000539946,,0,0,0.0007103955
10.39715,"2020-02-03 09:31:53",广东,东莞,31,0,0,0,31,0,0,1,,,0.04538799,,0,,0.04640719,0.31,,0,0,0.3827161,,,0.000619938,,0,0,0.0008156392
10.6965,"2020-02-03 16:42:57",广东,东莞,31,0,0,0,31,0,0,1,,,0.04275862,,0,,0.04366197,0.31,,0,0,0.3827161,,,0.000619938,,0,0,0.0008156392
10.69726,"2020-02-03 16:44:02",广东,东莞,31,0,0,0,31,0,0,1,,,0.04275862,,0,,0.04366197,0.31,,0,0,0.3827161,,,0.000619938,,0,0,0.0008156392
10.69801,"2020-02-03 16:45:08",广东,东莞,31,0,0,0,31,0,0,1,,,0.04275862,,0,,0.04366197,0.31,,0,0,0.3827161,,,0.000619938,,0,0,0.0008156392
10.86731,"2020-02-03 20:48:55",广东,东莞,31,0,0,0,31,0,0,1,,,0.04275862,,0,,0.04366197,0.31,,0,0,0.3827161,,,0.000619938,,0,0,0.0008156392
10.86807,"2020-02-03 20:50:01",广东,东莞,31,0,0,0,31,0,0,1,,,0.04275862,,0,,0.04403409,0.31,,0,0,0.3827161,,,0.000619938,,0,0,0.0008156392
11.39996,"2020-02-04 09:35:56",广东,东莞,37,0,0,0,37,0,0,1,,,0.04642409,,0,,0.04768041,0.37,,0,0,0.4567901,,,0.000739926,,0,0,0.0009735049
11.48927,"2020-02-04 11:44:33",广东,东莞,37,0,0,0,37,0,0,1,,,0.04642409,,0,,0.04786546,0.37,,0,0,0.4567901,,,0.000739926,,0,0,0.0009735049
11.72543,"2020-02-04 17:24:37",广东,东莞,37,0,0,0,37,0,0,1,,,0.04551046,,0,,0.0468948,0.37,,0,0,0.4567901,,,0.000739926,,0,0,0.0009735049
11.80875,"2020-02-04 19:24:35",广东,东莞,37,0,0,0,37,0,0,1,,,0.04551046,,0,,0.04707379,0.37,,0,0,0.4567901,,,0.000739926,,0,0,0.0009735049
11.87172,"2020-02-04 20:55:16",广东,东莞,37,0,0,0,37,0,0,1,,,0.04551046,,0,,0.04725415,0.37,,0,0,0.4567901,,,0.000739926,,0,0,0.0009735049
12.41122,"2020-02-05 09:52:09",广东,东莞,37,0,0,0,37,0,0,1,,,0.04551046,,0,,0.04725415,0.37,,0,0,0.4567901,,,0.000739926,,0,0,0.0009735049
12.41198,"2020-02-05 09:53:15",广东,东莞,44,0,0,0,44,0,0,1,,,0.05412054,,0,,0.05619413,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.41274,"2020-02-05 09:54:20",广东,东莞,44,0,0,0,44,0,0,1,,,0.05412054,,0,,0.05619413,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.4135,"2020-02-05 09:55:26",广东,东莞,44,0,0,0,44,0,0,1,,,0.05057471,,0,,0.05250597,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.70961,"2020-02-05 17:01:50",广东,东莞,44,0,0,0,44,0,0,1,,,0.04916201,,0,,0.05128205,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.71032,"2020-02-05 17:02:51",广东,东莞,44,0,0,0,44,0,0,1,,,0.04916201,,0,,0.05128205,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.71102,"2020-02-05 17:03:52",广东,东莞,44,0,0,0,44,0,0,1,,,0.04916201,,0,,0.05128205,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.76055,"2020-02-05 18:15:11",广东,东莞,44,0,0,0,44,0,0,1,,,0.04916201,,0,,0.05158265,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.88735,"2020-02-05 21:17:46",广东,东莞,44,0,0,0,44,0,0,1,,,0.04916201,,0,,0.05200946,0.44,,0,0,0.5432099,,,0.000879912,,0,0,0.001157681
12.88805,"2020-02-05 21:18:47",广东,东莞,44,0,1,0,43,0.02272727,0,0.9772727,0,,0.04916201,,0.02040816,,0.05082742,0.44,,0.01030928,0,0.5308642,0,,0.000879912,,2.498002E-05,0,0.001131371
13.39604,"2020-02-06 09:30:17",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04978814,,0.02040816,,0.05139665,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.60277,"2020-02-06 14:27:59",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04978814,,0.02,,0.05145414,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.68432,"2020-02-06 16:25:25",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04978814,,0.02,,0.05145414,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.68502,"2020-02-06 16:26:25",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01923077,,0.05010893,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.75254,"2020-02-06 18:03:39",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01923077,,0.05010893,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.75324,"2020-02-06 18:04:40",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01923077,,0.05010893,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.75395,"2020-02-06 18:05:40",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01754386,,0.05038335,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.79407,"2020-02-06 19:03:27",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01538462,,0.05082873,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.79478,"2020-02-06 19:04:28",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01538462,,0.05082873,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
13.86158,"2020-02-06 20:40:40",广东,东莞,47,0,1,0,46,0.0212766,0,0.9787234,0,,0.04845361,,0.01449275,,0.05105438,0.47,,0.01030928,0,0.5679013,0,,0.000939906,,2.498002E-05,0,0.001210303
14.40148,"2020-02-07 09:38:07",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05206287,,0.01449275,,0.05479452,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.40289,"2020-02-07 09:40:09",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05206287,,0.01449275,0,0.05485232,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.60408,"2020-02-07 14:29:52",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05206287,,0.01449275,0,0.05485232,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.60479,"2020-02-07 14:30:53",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05206287,,0.01369863,0,0.05508475,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.6076,"2020-02-07 14:34:56",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05206287,,0.01333333,0,0.0552017,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.69344,"2020-02-07 16:38:33",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05125725,,0.01333333,0,0.05427975,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.69415,"2020-02-07 16:39:34",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05125725,,0.01333333,0,0.05427975,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.69485,"2020-02-07 16:40:34",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05125725,,0.01333333,0,0.05427975,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.7589,"2020-02-07 18:12:48",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05125725,,0.01136364,0,0.05502646,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.7596,"2020-02-07 18:13:49",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05125725,,0.01136364,0,0.05502646,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
14.76031,"2020-02-07 18:14:50",广东,东莞,53,0,1,0,52,0.01886792,0,0.9811321,0,,0.05125725,,0.01136364,0,0.05502646,0.53,,0.01030928,0,0.6419753,0,,0.001059894,,2.498002E-05,0,0.001368169
15.39831,"2020-02-08 09:33:34",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05209302,,0.01030928,0,0.05629478,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.49476,"2020-02-08 11:52:27",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05209302,,0.01020408,0,0.05635246,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.53558,"2020-02-08 12:51:14",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05209302,,0.01020408,0,0.05635246,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.53769,"2020-02-08 12:54:16",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05209302,,0.01020408,0,0.05635246,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.54261,"2020-02-08 13:01:21",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05209302,,0.00952381,0,0.05675955,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.68264,"2020-02-08 16:23:00",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.00952381,0,0.05561173,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.68334,"2020-02-08 16:24:00",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.00952381,0,0.05561173,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.6904,"2020-02-08 16:34:10",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.008849557,0,0.05606524,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.69885,"2020-02-08 16:46:20",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.008403362,0,0.05641026,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.69955,"2020-02-08 16:47:21",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.008403362,0,0.05641026,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.7228,"2020-02-08 17:20:49",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.008849557,0,0.05606524,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
15.82418,"2020-02-08 19:46:49",广东,东莞,56,0,1,0,55,0.01785714,0,0.9821429,0,,0.05114155,,0.008928572,0,0.05600815,0.56,,0.01030928,0,0.6790124,0,,0.001119888,,2.498002E-05,0,0.001447102
16.40727,"2020-02-09 09:46:28",广东,东莞,58,0,1,0,57,0.01724138,0,0.9827586,0,,0.05178571,,0.008,0,0.05734406,0.58,,0.01030928,0,0.7037037,0,,0.001159884,,2.498002E-05,0,0.001499724
16.55307,"2020-02-09 13:16:25",广东,东莞,58,0,1,0,57,0.01724138,0,0.9827586,0,,0.05178571,,0.007936508,0,0.05740181,0.58,,0.01030928,0,0.7037037,0,,0.001159884,,2.498002E-05,0,0.001499724
16.55378,"2020-02-09 13:17:26",广东,东莞,58,0,1,0,57,0.01724138,0,0.9827586,0,,0.05178571,,0.007936508,0,0.05740181,0.58,,0.01030928,0,0.7037037,0,,0.001159884,,2.498002E-05,0,0.001499724
16.5573,"2020-02-09 13:22:30",广东,东莞,58,0,1,0,57,0.01724138,0,0.9827586,0,,0.05178571,,0.007936508,0,0.05740181,0.58,,0.01030928,0,0.7037037,0,,0.001159884,,2.498002E-05,0,0.001499724
16.60945,"2020-02-09 14:37:36",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05178571,,0.01587302,0,0.05639476,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.67638,"2020-02-09 16:13:59",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.01587302,0,0.05577689,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.68553,"2020-02-09 16:27:09",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.01587302,0,0.05577689,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.68623,"2020-02-09 16:28:10",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.015625,0,0.05588822,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.69468,"2020-02-09 16:40:20",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.015625,0,0.05588822,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.69538,"2020-02-09 16:41:21",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.01550388,0,0.05594406,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.71935,"2020-02-09 17:15:51",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.01428571,0,0.05656566,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.74401,"2020-02-09 17:51:22",广东,东莞,58,0,2,0,56,0.03448276,0,0.9655172,0,,0.05128205,,0.01428571,0,0.05656566,0.58,,0.02061856,0,0.691358,0,,0.001159884,,4.996003E-05,0,0.001473413
16.95896,"2020-02-09 23:00:53",广东,东莞,58,0,3,0,55,0.05172414,0,0.9482759,0,,0.05128205,,0.0212766,0,0.05561173,0.58,,0.03092784,0,0.6790124,0,,0.001159884,,7.494005E-05,0,0.001447102
17.42383,"2020-02-10 10:10:19",广东,东莞,60,0,1,0,59,0.01666667,0,0.9833333,0,,0.05212858,,0.006993007,0,0.05858987,0.6,,0.01030928,0,0.728395,0,,0.00119988,,2.498002E-05,0,0.001552346
17.4457,"2020-02-10 10:41:48",广东,东莞,60,0,1,0,59,0.01666667,0,0.9833333,0,,0.05212858,,0.006993007,0,0.05858987,0.6,,0.01030928,0,0.728395,0,,0.00119988,,2.498002E-05,0,0.001552346
17.48446,"2020-02-10 11:37:37",广东,东莞,60,0,3,0,57,0.05,0,0.95,0,,0.05212858,,0.02097902,0,0.05660377,0.6,,0.03092784,0,0.7037037,0,,0.00119988,,7.494005E-05,0,0.001499724
17.48517,"2020-02-10 11:38:38",广东,东莞,60,0,3,0,57,0.05,0,0.95,0,,0.05212858,,0.02040816,0,0.05682951,0.6,,0.03092784,0,0.7037037,0,,0.00119988,,7.494005E-05,0,0.001499724
17.48587,"2020-02-10 11:39:39",广东,东莞,60,0,3,0,57,0.05,0,0.95,0,,0.05212858,,0.02040816,0,0.05682951,0.6,,0.03092784,0,0.7037037,0,,0.00119988,,7.494005E-05,0,0.001499724
17.48658,"2020-02-10 11:40:40",广东,东莞,60,0,3,0,57,0.05,0,0.95,0,,0.05212858,,0.02040816,0,0.05682951,0.6,,0.03092784,0,0.7037037,0,,0.00119988,,7.494005E-05,0,0.001499724
17.5176,"2020-02-10 12:25:20",广东,东莞,60,0,3,0,57,0.05,0,0.95,0,,0.05212858,,0.02040816,0,0.05682951,0.6,,0.03092784,0,0.7037037,0,,0.00119988,,7.494005E-05,0,0.001499724
17.51831,"2020-02-10 12:26:22",广东,东莞,60,0,3,0,57,0.05,0,0.95,0,,0.05212858,,0.02027027,0,0.05688623,0.6,,0.03092784,0,0.7037037,0,,0.00119988,,7.494005E-05,0,0.001499724
