TimeOffset,UpdateTime,ParentName,ChildName,ChildConfirmedCount,ChildSuspectedCount,ChildCuredCount,ChildDeadCount,ChildTreatingCount,ChildCuredRate,ChildDeadRate,ChildTreatingRate,ChildDeadDivideCured,ChildCuredDivideDead,ChildConfirmedCountRate,ChildSuspectedCountRate,ChildCuredCountRate,ChildDeadCountRate,ChildTreatingCountRate,ChildConfirmedNorm,ChildSuspectedNorm,ChildCuredNorm,ChildDeadNorm,ChildTreatingNorm,ChildDeadDivideCuredNorm,ChildCuredDivideDeadNorm,ChildTatalConfirmedNorm,ChildTatalSuspectedNorm,ChildTatalCuredNorm,ChildTatalDeadNorm,ChildTatalTreatingNorm
0.160081,"2020-01-24 03:50:31",福建,泉州,1,0,0,0,1,0,0,1,,,0.2,,,,0.2,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
0.5257292,"2020-01-24 12:37:03",福建,泉州,1,0,0,0,1,0,0,1,,,0.1111111,,,,0.1111111,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
0.6723958,"2020-01-24 16:08:15",福建,泉州,1,0,0,0,1,0,0,1,,,0.1,,,,0.1,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
0.6731018,"2020-01-24 16:09:16",福建,泉州,1,0,0,0,1,0,0,1,,,0.1,0,,,0.1,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
0.6737963,"2020-01-24 16:10:16",福建,泉州,1,0,0,0,1,0,0,1,,,0.1,0,,,0.1,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
0.7355903,"2020-01-24 17:39:15",福建,泉州,1,0,0,0,1,0,0,1,,,0.1,0,,,0.1,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
1.670544,"2020-01-25 16:05:35",福建,泉州,1,0,0,0,1,0,0,1,,,0.05555556,0,,,0.05555556,0.0212766,,0,,0.01923077,,,1.9998E-05,0,0,0,2.631094E-05
1.671238,"2020-01-25 16:06:35",福建,泉州,3,0,0,0,3,0,0,1,,,0.1666667,0,,,0.1666667,0.06382979,,0,,0.05769231,,,5.9994E-05,0,0,0,7.893283E-05
1.671944,"2020-01-25 16:07:36",福建,泉州,3,0,0,0,3,0,0,1,,,0.1666667,0,,,0.1666667,0.06382979,,0,,0.05769231,,,5.9994E-05,0,0,0,7.893283E-05
1.68037,"2020-01-25 16:19:44",福建,泉州,3,0,0,0,3,0,0,1,,,0.1666667,0,,,0.1666667,0.06382979,,0,,0.05769231,,,5.9994E-05,0,0,0,7.893283E-05
2.361192,"2020-01-26 08:40:07",福建,泉州,3,0,0,0,3,0,0,1,,,0.1666667,,,,0.1666667,0.06382979,,0,,0.05769231,,,5.9994E-05,0,0,0,7.893283E-05
2.609097,"2020-01-26 14:37:06",福建,泉州,4,0,0,0,4,0,0,1,,,0.137931,,,,0.137931,0.08510638,,0,,0.07692308,,,7.9992E-05,0,0,0,0.0001052438
2.609792,"2020-01-26 14:38:06",福建,泉州,4,0,0,0,4,0,0,1,,,0.137931,,,,0.137931,0.08510638,,0,,0.07692308,,,7.9992E-05,0,0,0,0.0001052438
2.81412,"2020-01-26 19:32:20",福建,泉州,4,0,0,0,4,0,0,1,,,0.1142857,,,,0.1142857,0.08510638,,0,,0.07692308,,,7.9992E-05,0,0,0,0.0001052438
2.814826,"2020-01-26 19:33:21",福建,泉州,5,0,0,0,5,0,0,1,,,0.1428571,,,,0.1428571,0.106383,,0,,0.09615385,,,9.999E-05,0,0,0,0.0001315547
3.577488,"2020-01-27 13:51:35",福建,泉州,10,0,0,0,10,0,0,1,,,0.1785714,,,,0.1785714,0.212766,,0,,0.1923077,,,0.00019998,0,0,0,0.0002631094
3.578194,"2020-01-27 13:52:36",福建,泉州,10,0,0,0,10,0,0,1,,,0.1785714,,,,0.1785714,0.212766,,0,,0.1923077,,,0.00019998,0,0,0,0.0002631094
3.990509,"2020-01-27 23:46:20",福建,泉州,10,0,0,0,10,0,0,1,,,0.1694915,,,,0.1694915,0.212766,,0,,0.1923077,,,0.00019998,0,0,0,0.0002631094
3.992616,"2020-01-27 23:49:22",福建,泉州,10,0,0,0,10,0,0,1,,,0.1694915,,,,0.1694915,0.212766,,0,,0.1923077,,,0.00019998,0,0,0,0.0002631094
4.655197,"2020-01-28 15:43:29",福建,泉州,13,0,0,0,13,0,0,1,,,0.1780822,,,,0.1780822,0.2765957,,0,,0.25,,,0.000259974,0,0,0,0.0003420422
4.839224,"2020-01-28 20:08:29",福建,泉州,13,0,0,0,13,0,0,1,,,0.1625,,,,0.1625,0.2765957,,0,,0.25,,,0.000259974,0,0,0,0.0003420422
5.405359,"2020-01-29 09:43:43",福建,泉州,13,0,0,0,13,0,0,1,,,0.1585366,,,,0.1585366,0.2765957,,0,,0.25,,,0.000259974,0,0,0,0.0003420422
5.660683,"2020-01-29 15:51:23",福建,泉州,13,0,0,0,13,0,0,1,,,0.1547619,,,,0.1547619,0.2765957,,0,,0.25,,,0.000259974,0,0,0,0.0003420422
5.661377,"2020-01-29 15:52:23",福建,泉州,13,0,0,0,13,0,0,1,,,0.1547619,,,,0.1547619,0.2765957,,0,,0.25,,,0.000259974,0,0,0,0.0003420422
6.417812,"2020-01-30 10:01:39",福建,泉州,18,0,0,0,18,0,0,1,,,0.1782178,,,,0.1782178,0.3829787,,0,,0.3461539,,,0.000359964,0,0,0,0.000473597
7.510069,"2020-01-31 12:14:30",福建,泉州,18,0,0,0,18,0,0,1,,,0.15,,,,0.15,0.3829787,,0,,0.3461539,,,0.000359964,0,0,0,0.000473597
7.511621,"2020-01-31 12:16:44",福建,泉州,22,0,0,0,22,0,0,1,,,0.1833333,,,,0.1833333,0.4680851,,0,,0.4230769,,,0.000439956,0,0,0,0.0005788407
7.513924,"2020-01-31 12:20:03",福建,泉州,22,0,0,0,22,0,0,1,,,0.1833333,,,,0.1833333,0.4680851,,0,,0.4230769,,,0.000439956,0,0,0,0.0005788407
8.482593,"2020-02-01 11:34:56",福建,泉州,24,0,0,0,24,0,0,1,,,0.1666667,,,,0.1666667,0.5106383,,0,,0.4615385,,,0.000479952,0,0,0,0.0006314626
9.486898,"2020-02-02 11:41:08",福建,泉州,24,0,0,0,24,0,0,1,,,0.1509434,,,,0.1509434,0.5106383,,0,,0.4615385,,,0.000479952,0,0,0,0.0006314626
9.487651,"2020-02-02 11:42:13",福建,泉州,29,0,0,0,29,0,0,1,,,0.1823899,,,,0.1823899,0.6170213,,0,,0.5576923,,,0.000579942,0,0,0,0.0007630173
10.4699,"2020-02-03 11:16:39",福建,泉州,31,0,0,0,31,0,0,1,,,0.1731844,,,,0.1731844,0.6595744,,0,,0.5961539,,,0.000619938,0,0,0,0.0008156392
10.81235,"2020-02-03 19:29:47",福建,泉州,31,0,0,0,31,0,0,1,,,0.1731844,,0,,0.1741573,0.6595744,,0,,0.5961539,,,0.000619938,0,0,0,0.0008156392
11.47254,"2020-02-04 11:20:27",福建,泉州,35,0,0,0,35,0,0,1,,,0.1804124,,0,,0.1813471,0.7446808,,0,,0.6730769,,,0.00069993,0,0,0,0.000920883
11.84196,"2020-02-04 20:12:25",福建,泉州,35,0,0,0,35,0,0,1,,,0.1804124,,0,,0.1832461,0.7446808,,0,,0.6730769,,,0.00069993,0,0,0,0.000920883
12.5098,"2020-02-05 12:14:07",福建,泉州,35,0,3,0,32,0.08571429,0,0.9142857,0,,0.1804124,,0.4285714,,0.171123,0.7446808,,0.06382979,,0.6153846,,,0.00069993,0,7.082989E-05,0,0.0008419502
12.55038,"2020-02-05 13:12:33",福建,泉州,35,0,3,0,32,0.08571429,0,0.9142857,0,,0.1707317,,0.4285714,,0.1616162,0.7446808,,0.06382979,,0.6153846,,,0.00069993,0,7.082989E-05,0,0.0008419502
12.55115,"2020-02-05 13:13:39",福建,泉州,55,0,3,0,52,0.05454545,0,0.9454545,0,,0.2682927,,0.4285714,,0.2626263,1.170213,,0.06382979,,1,,,0.00109989,0,7.082989E-05,0,0.001368169
12.55267,"2020-02-05 13:15:51",福建,泉州,37,0,3,0,34,0.08108108,0,0.9189189,0,,0.1804878,,0.4285714,,0.1717172,0.7872341,,0.06382979,,0.6538461,,,0.000739926,0,7.082989E-05,0,0.0008945721
